store_id,store_address,postcodes,warehouse_id,stock
947992,"234 Cedar Ln, Houston",12345,
435497,"567 Elm St, Seattle",23456,
444335,"890 Birch Ave, Los Angeles",34567,
589307,"123 Walnut Rd, Chicago",45678,
865952,"456 Pine Ave, New York",56789,
819569,"789 Oak St, San Francisco",67890,
907948,"012 Maple Ln, Miami",78901,
404428,"345 Spruce Rd, Dallas",89012,
656693,"678 Chestnut Ave, Atlanta",90123,
766118,"901 Olive St, Boston",1234,
502773,"234 Vine Rd, Denver",12345,
204552,"567 Palm Ave, Washington",23456,
371972,"890 Cedar St, Philadelphia",34567,
776698,"123 Elm Ln, Phoenix",45678,
741712,"456 Birch Ave, San Diego",56789,
780752,"789 Walnut Rd, Nashville",67890,
851563,"012 Pine Ave, Orlando",78901,
200100,"345 Oak St, Austin",89012,
386137,"678 Maple Rd, Minneapolis",90123,
124403,"901 Chestnut Ave, Houston",1234,
758148,"234 Olive Ln, Las Vegas",12345,
212698,"567 Vine Rd, San Antonio",23456,
471055,"890 Cedar Ave, Portland",34567,
146527,"123 Elm St, Detroit",45678,
137973,"456 Birch Rd, Charlotte",56789,
523666,"789 Walnut Ave, Raleigh",67890,
769967,"012 Pine St, Tampa",78901,
584868,"345 Oak Rd, Indianapolis",89012,
748941,"678 Maple Ave, Kansas City",90123,
731844,"901 Chestnut Ln, Pittsburgh",1234,
381762,"234 Olive Rd, Memphis",12345,
204188,"567 Vine Ave, Baltimore",23456,
631684,"890 Cedar St, Richmond",34567,
515688,"123 Elm Rd, Salt Lake City",45678,
477788,"456 Birch Ave, St. Louis",56789,
109293,"789 Walnut Ln, Charleston",67890,
138265,"012 Pine Rd, Providence",78901,
634328,"345 Oak Ave, Albuquerque",89012,
456288,"678 Maple St, Portland",90123,
345782,"901 Chestnut Rd, Cincinnati",1234,
267182,"234 Olive Ave, Oklahoma City",12345,
724117,"567 Vine Rd, Cleveland",23456,
424353,"890 Cedar Ln, San Jose",34567,
940630,"123 Elm St, Tampa",45678,
311283,"456 Birch Ave, Sacramento",56789,
273667,"789 Walnut Rd, Louisville",67890,
343507,"012 Pine St, Milwaukee",78901,
106933,"345 Oak Ave, Jacksonville",89012,
764824,"678 Maple Rd, Fort Worth",90123,
460962,"901 Chestnut Ave, San Antonio",1234,